specification,term,estimate,standard_error,p_value,expected_rate_change_percent
Salinity and fixed effects,z_mean_salinity_orig,-0.0141475910935719,0.0151551964521816,0.350554542175012,-1.40479842124469
Salinity and fixed effects,z_mean_salinity_dest,0.0060578166977227,0.022734048570463,0.789881502590049,0.607620237623507
Preferred: salinity and climate controls,z_mean_salinity_orig,-0.012408352196588,0.014449146552408,0.390472821655534,-1.23316860223872
Preferred: salinity and climate controls,z_mean_salinity_dest,0.00299459153255211,0.0214243767602392,0.88883779335952,0.299907980083392
Preferred: salinity and climate controls,z_gdd_large_orig,0.0153587143618758,0.0297537320514075,0.60571853553565,1.54772655690754
Preferred: salinity and climate controls,z_kdd_large_orig,0.0875791816863501,0.052135301070484,0.0929876381960157,9.15286901036236
Preferred: salinity and climate controls,z_sm_season_large_orig,0.118445357542215,0.0406768518417688,0.00359281938063654,12.5745358928078
Preferred: salinity and climate controls,z_gdd_large_dest,0.00722436780552095,0.0258543397585277,0.779918126128705,0.725052650603142
Preferred: salinity and climate controls,z_kdd_large_dest,0.107450929673397,0.0429093916096721,0.0122751022720108,11.3436222726894
Preferred: salinity and climate controls,z_sm_season_large_dest,0.0687230273571602,0.0434487048145848,0.113716963827904,7.11394917230657
